"university","group","homepage","missionpage","simplemission","mission","department"
"London College of Communication",,"http://www.lcc.arts.ac.uk/","http://www3.imperial.ac.uk/planning/strategy/strategicplan",,"Imperial College London embodies and delivers world class scholarship, education and research in science, engineering, medicine and business, with particular regard to their application in industry, commerce and healthcare. We foster multidisciplinary working internally and collaborate widely externally.",
"London College of Fashion",,"http://www.fashion.arts.ac.uk/","http://www.fashion.arts.ac.uk/about/",,"to fashion the future.",
"Wimbledon College of Art",,"http://www.wimbledon.arts.ac.uk/","http://www.ullbe.com/colleges_and_universities_in/United-Kingdom/WIMBLEDON-COLLEGE-OF-ART.php",,"Wimbledon College of Art is a specialist art and design institution, which recruits students regionally, nationally and internationally. We are committed to both the specialist nature of what we offer and maintaining the highest levels of quality in education and professional art and design practice, theory and research.We greatly value our independent identity and particular professional culture as well as our links with other institutions and organisations nationally and abroad.Particular emphasis is placed on research activity, embracing practice in art and design as well as scholarship, as essential and integral to the quality of teaching and the delivery of courses.We are committed to promoting and maximising the participation of students from as diverse a range of background as possible, irrespective of age, sex or ethnic origin.",
"Aston University, Birmingham",,"http://www1.aston.ac.uk/","http://search.aston.ac.uk/search?q=mission+statement",,"Aston University Careers and Employability Centre (AUCEC) provides high quality; careers education, information, advice and guidance to AstonÔÇÖs students and graduates. It delivers; individual appointments, group sessions, online support and a well-equipped information room. It works closely with Schools of Study to provide career management skills modules tailored to individual programmes, placement links and support and information on the destinations of their graduates. AUCEC facilitates the employment of Aston students and graduates by; providing a range of resources, skills workshops, an online vacancy system, arranging and publicising employer presentations and drop-in events, coordinating recruitment fairs on campus and organising special interest and sector events.",
"Bangor University",,"http://www.bangor.ac.uk/","http://www.bangor.ac.uk/corporate/results.php.en?cx=018162437617412129275%3Awzb6c2e33om&q=mission+statement&sa.x=62&sa.y=9&sa=Search&cof=FORID%3A11&siteurl=www.bangor.ac.uk%2F&ref=www.google.co.uk%2F&ss=1434j1117506j4",,"Learning and Teaching are key elements of the InstitutionÔÇÖs mission statement which is ÔÇ£to be a world-class research-led university, to provide teaching and learning of the highest quality, and to contribute to the development of the economy, health and culture of a sustainable Wales and a sustainable worldÔÇØ",
"University of Bath",,"http://www.bath.ac.uk/","http://www.bath.ac.uk/search?query=mission+statement&submit.x=-1048&submit.y=-65&submit=btnG&collection=website",,"Our mission is to deliver world-class research and teaching, educating our students to become future leaders and innovators, and benefiting the wider population through our research, enterprise and influence.",
"Bath Spa University",,"http://www.bathspa.ac.uk/","http://www.bathspa.ac.uk/Media/Regulations/Strategic%20Plan/strat-plan-2006-07-to-2008-09.pdf",,"To be an outstanding and distinctive university that provides a student experience of the highest quality driven by excellence in scholarship and teaching.",
"University of Bedfordshire",,"http://www.beds.ac.uk/","http://www.beds.ac.uk/aboutus/mission-statement",,"We create a vibrant multi-cultural learning community enabling people to transform their lives by participating in excellent, innovative education, scholarship and research.",
"University of Birmingham","russell","http://www.birmingham.ac.uk/index.aspx",,,,
"Birmingham City University",,"http://www.bcu.ac.uk/","http://www.bcu.ac.uk/about-us/corporate-information/missions-statement",,"To transform the prospects of individuals, employers and society through excellence in practice-based education, research and knowledge exchange.""",
"Birmingham Conservatoire",,"https://www.bcu.ac.uk/pme/conservatoire",,,,
"University College Birmingham",,"http://www.ucb.ac.uk/home.aspx","http://www.ucb.ac.uk/about-us/mission-statement.aspx",,"To promote and provide the opportunity for participation in the learning process by those with the ambition and commitment to succeed and to maintain a learning community that meets the diverse needs of our students, the economy and society at large.",
"Bishop Grosseteste University",,"http://www.bishopg.ac.uk/","http://www.bishopg.ac.uk/?sid=10161&pgid=10167",,"Inspired by the University's Church of England foundation our mission is to:Excel at teaching, learning and research,Enable all students to achieve in the highest possible standard in their chosen field of study,Provide lifeÔÇæenriching opportunities for our students,Recognise aspiration and achievements and provide opportunities for selfÔÇædevelopment,Foster an ethos in which individuals are valued and diversity is celebrated,Develop productive partnerships to extend and deepen our external contribution regionally,nationally and internationally",
"University Centre at Blackburn College",,"http://www.blackburn.ac.uk/higher-education/","http://www.blackburn.ac.uk/about-blackburn-college/mission-statement/",,"Set high expectations to promote the consistent achievement of aspirational learning goals Promote equality actively, support diversity and cohesion and tackle discrimination through innovative strategies,Provide a range of learning opportunities, services and support relevant to the needs of individuals and employers,Theme Two ÔÇô Our students and staff:Take action to ensure a safe environment. Promote individual understanding and responsibility for safety and well-being,Provide a supportive environment for all staff encouraging personal well-being and professional development,Develop a clear and open communication and engagement strategy,Theme Three ÔÇô Our resources:Provide a vibrant learning environment to meet the needs and expectations of the College community,Ensure accountability, financial stability and the effective use of resources,Reduce the resource intensity and energy consumption associated with learning.",
"University of Bolton",,"http://www.bolton.ac.uk/Home.aspx","http://www.bolton.ac.uk/Careers/About/aimsandobjectives/Home.aspx","The Mission of the Careers Service is to provide quality, timely and impartial careers information, advice and guidance, in order to improve the employability of prospective students, current students and graduates.","To fulfill the Mission the Careers Service aims to:Deliver in partnership with academic staff and employers, opportunities for students to develop the necessary skills and attributes needed to secure graduate employment.Deliver a high quality careers guidance and vacancy service which supports our students and graduates to achieve their career aspirations and goals.Present reliable and clear information about the services we can provide to staff, students, graduates and employers.Offer our graduates the support and advice needed to make an effective transition from university to graduate employment.Engage with employers on both a local and national basis in order to increase opportunities for work experience and training.Support staff in developing employability within the curriculum and the student learner experience.","Careers Service"
"Bournemouth University",,"http://home.bournemouth.ac.uk/","http://business.bournemouth.ac.uk/school-mission.html",,"The Business SchoolÔÇÖs mission statement recognises its role with respect to achieving fusion with a focus on research, education and professional practice and consequently an enriched student experience:To contribute to business and society by the creation, dissemination and application of knowledge within a regional and increasingly national and international context. We achieve this by being a vibrant knowledge exchange community of students, staff and other business and organisational stakeholders.Our aim, by 2018, is to be a regionally recognised Business School, with a strong and vibrant research culture delivering high quality research. We will also be an established business partner within the regional business community, with national recognition and international linkages, providing expert business leadership, which will be embedded in the student experience.","Business School"
"BPP University College of Professional Studies",,"http://www.bpp.com/","http://www.bpp.com/carbon-content-1.0-SNAPSHOT/resources/ECMDocument?contentName=BPP_University_College_Handook","Our goal is to empower students to succeed through our unwavering commitment to quality, supported by flexible learning solutions and outstanding educational material.","The Mission of BPP University College of Professional Studies is: To be the leading provider of business and legal professional education and training. Delivered by passionate and well-qualified staff who are professional, friendly, highly motivated and reflect the rich diversity of UKÔÇÖs population.Supported by outstanding facilities, first class services, exploiting the latest technology and e-learning opportunities.Providing a dynamic portfolio of excellent undergraduate, postgraduate and professional programmes which are innovative, highly respected and the best preparation for a future career in professional disciplines such as:accountancy, actuarial practice, banking, business, finance, insolvency,human resources, law, marketing and tax. Anticipating and responding to clients' requirements and exceeding their expectations.To be the best at all we do.",
"University of Bradford",,"http://www.bradford.ac.uk/external/","http://www.brad.ac.uk/media/newstudents/docs/Student-Handbook-2012-13.pdf",,"Our University mission is ÔÇÿMaking Knowledge WorkÔÇÖ ÔÇô what this means in practice is that your future is our top priority.",
"University of Bradford School of Management",,"http://www.brad.ac.uk/management/","http://www.bradford.ac.uk/management/about-the-school/our-reputation-and-history/mission-vision-and-values/",,"To enhance the understanding and practice of business and management worldwide as a leading international full-service business school, with an international staff and student community;engaged in internationally excellent learning, teaching and research in close collaboration with businesses and other users;whilst fostering a commitment to corporate social responsibility.",
"University of Brighton",,"http://www.brighton.ac.uk/",,,,
"Brighton and Sussex Medical School",,"http://www.bsms.ac.uk/",,,,
"University of Bristol","russell","http://www.bris.ac.uk/","http://www.bristol.ac.uk/university/governance/policies/vision/mission.html","To pursue and share knowledge and understanding, both for their own sake and to help individuals and society fulfil their potential.","Our mission and vision are underpinned by these values:truth - we seek and are inspired by truth, which we pursue for its own sake;excellence - we strive for the highest quality in all we do;innovation - we welcome the challenge of the new and value the creative and Entrepreneurial;ambition - we have high aspirations for the University and all its staff, students and alumni;responsibility - we aim to make a positive difference to the wider world and the future;independence - we encourage independent thinking and cherish academic and institutional autonomy;collaboration - we are committed to teamwork and to partnership with others;transparency - we want to be accountable for our decisions and actions;diversity - we view the diversity of our staff, students and alumni as a great asset;equity - we believe in the equitable treatment of all.",
"Brunel University",,"http://www.brunel.ac.uk/","http://www.brunel.ac.uk/about/strategic-plan/introduction",,"To create knowledge and advance understanding, and equip versatile graduates with the confidence to apply what they have learnt for the benefit of society",
"University of Buckingham",,"http://www.buckingham.ac.uk/",,,,
"Buckinghamshire New University",,"http://bucks.ac.uk/","http://bucks.ac.uk/content/documents/communications/strategic_plan/bucks_strategic_plan_a4_external.pdf",,"Putting our students first and working responsively with the very best partners to influence, inspire and nurture talent for professional and creative careers.",
"University of Cambridge","russell,leru","http://www.cam.ac.uk/","http://www.admin.cam.ac.uk/univ/mission.html",,"The mission of the University of Cambridge is to contribute to society through the pursuit of education, learning, and research at the highest international levels of excellence.",
"Canterbury Christ Church University",,"http://www.canterbury.ac.uk/news/newsRelease.asp?newsPk=534","http://www.canterbury.ac.uk/news/newsRelease.asp?newsPk=534",,"our mission is to provide excellent academic and professional education underpinned by research, scholarship and creative work and by Christian principles and values.",
"Cardiff University","russell","http://www.cardiff.ac.uk/","http://www.cardiff.ac.uk/about/visionandmission/","Our Mission is to pursue research, learning and teaching of international distinction and impact.","Features of our Vision and Mission are a striving for excellence, integrity and innovation in every aspect of activity; a strongly collaborative approach; open and effective communications and an inclusive culture based on dignity, courtesy and respect.",
"Cardiff International Academy of Voice",,"http://www.trinitysaintdavid.ac.uk/en/wiav/","http://www.trinitysaintdavid.ac.uk/en/media/uniweb/content/documents/departments/qualityassuranceunit/academicqualityhandbook/Chapter_01_Mission_and_Vision_Pages_1-5.pdf",,"The UniversityÔÇÖs mission statement is: Excellence in Education ÔÇô delivered with distinction in Wales for the benefit of the wider world.",
"Cardiff University School of Medicine",,"http://medicine.cf.ac.uk/","http://medicine.cf.ac.uk/sewahsp/",,"The South East Wales Academic Health Science Partnership (SEWAHSP) is an alliance with a mission to cooperate and collaborate strategically and operationally, to integrate high quality research and education and enhance the RegionÔÇÖs outputs in developing and applying improvements, innovations and health technologies to benefit the health and wealth of the population of Wales.",
"Cardiff Metropolitan University (UWIC)",,"http://www3.cardiffmet.ac.uk/English/Pages/home2.aspx#.UepqfdLOs3M","http://www.hefcw.ac.uk/about_he_in_wales/higher_education_institutions/cardiff_metropolitan.aspx",,"Cardiff Metropolitan UniversityÔÇÖs Motto is: ÔÇ£The most valuable possession is knowledgeÔÇØ Cardiff Metropolitan UniversityÔÇÖs vision is: To be a premier provider of higher education that promotes student employability, applied research and knowledge transfer. Its Mission is: To provide student-centred learning opportunities that are accessible, flexible, inclusive, lifelong and of the highest quality; to provide a culture within which applied research and enterprise will flourish; to develop established and new centres of excellence in professional education, applied research and knowledge transfer; to provide services that meet the needs of Wales and wider communities by working in partnership with city, national and international bodies.",
"University of Central Lancashire",,"http://www.uclan.ac.uk/","http://www.uclan.ac.uk/corporate_information/mission_values.php","We promote access to excellence enabling you to develop your potentIal.","We value and practise equality of opportunity, transparency and tolerance.We strive for excellence in all we do: locally regionally, nationally and internationally.We work in partnership with business, the community and other educators.We encourage and promote research innovation and creativity.",
"University of Chester",,"http://www.chester.ac.uk/campus-life/warrington-campus","http://www.chester.ac.uk/about/the-university/our-mission-values",,"The University was originally established in 1839 by the Church of England, and provides:an open and inclusive environment guided by Christian values education, training, skills and motivations for staff and students, to enable them to develop as individuals and serve the communities in which they live and work. This mission, which has helped shape our development and diversification, continues to inform our future planning",
"University of Chichester",,"http://www.chi.ac.uk/","http://www.chi.ac.uk/about-us/mission-and-vision",,"Our vision is to be a socially responsible university that is recognised internationally, significant nationally, important regionally and vital locally ÔÇô not only in teaching and student experience, but also in research and in its diverse communities and the public, private and voluntary sectors. We aspire to be excellent in everything we do and in the services we offer.",
"Crichton University Campus, Dumfries, shared by the University of Glasgow, the University of the West of Scotland and The Open University",,,,,,
"City University London",,"http://www.city.ac.uk/","http://www.city.ac.uk/about/city-information/the-city-vision/citys-values",,"We believe that education of the highest quality is provided by academic staff who are passionate about their subject, engage with it through high quality research and enterprise and bring the excitement and upÔÇÉtoÔÇÉdate experience of that engagement back to our students.",
"Cass Business School",,"http://www.cass.city.ac.uk/","http://www.cass.city.ac.uk/more-about-cass/about-the-school",,"Our mission is to be the business school of the City of London and its intellectual hub, serving the needs of professionals and companies through management education and by stimulating research and debate on key issues facing international business and finance.",
"City Law School",,"http://www.city.ac.uk/law",,,,
"Coventry University",,"http://www.coventry.ac.uk/","http://www.coventry.ac.uk/life-on-campus/the-university/about-coventry-university/corporate-plan-2015/our-mission-and-core-values/?theme=main",,"We aspire to be a dynamic, global, enterprising university. We will work in partnership with external organisations through our research and engage our students as partners in a community of learning.",
"Cranfield University",,"http://www.cranfield.ac.uk/","http://www.cranfield.ac.uk/about/overview/",,"CranfieldÔÇÖs aim is to transform all its knowledge to practical application. This is mainly achieved through the work of its students and through its work for sponsoring clients.",
"University for the Creative Arts, Canterbury, Epsom, Farnham, Maidstone and Rochester",,"http://www.ucreative.ac.uk/","http://www.ucreative.ac.uk/about/future","To excel as a university for the arts which fosters creativity through local connections and global aspirations by:","Delivering the highest standards of learning and teaching in the creative arts.Engaging in research and enterprise activities at the forefront of our disciplines.Fostering creative talent and potential wherever it is found.Forging relationships for the benefit of the University and its partners.Sustaining a supportive creative community which has a positive impact on society, culture and the economy.Enhancing our international standing and reputation in the creative arts.Championing the academic, economic and social value of the creative arts.",
"University of Cumbria",,"http://www.cumbria.ac.uk/Home.aspx","http://www.cumbria.ac.uk/AboutUs/MissionVisionValues.aspx",,"Is to provide and promote excellent and accessible higher education which enhances the lives of individuals and fosters the development of the communities to which we belong. In so doing, the university will embrace four guiding themes: sustainability; creativity; employability and enterprise.",
"De Montfort University, Leicester",,"http://www.dmu.ac.uk/home.aspx","http://www.dmu.ac.uk/about-dmu/mission-and-vision/mission-and-vision.aspx",,"We are a university of quality and distinctiveness, distinguished by our life-changing research, dynamic international partnerships, vibrant links with business and our commitment to excellence in learning, teaching and the student experience. We celebrate the rich cultural diversity of our staff, students and all our partnerships.",
"University of Derby",,"http://www.derby.ac.uk/","http://www.derby.ac.uk/careers/about-us/mission-statement",,"In order to meet our mission statement and values we have a number of strategic aims:We will work in partnership with academic staff to ensure that employability and career management skills are embedded within courses.We will provide excellent careers educations, information and guidance services.We will engage with employers to enhance opportunities for student and graduate employment.",
"University of Dundee",,"http://www.dundee.ac.uk/","http://www.dundee.ac.uk/studentservices/healthservice/ourmission.htm",,"We aim to provide a professional, confidential and approachable service.We are committed to helping people to help themselves and place a strong emphasis on physical and mental health promotion and education.We undertake to deliver a range of treatments and interventions tailored to individual needs, whilst referring appropriately.We strive to provide quality services in a caring and conscientious manner for the community of the University of Dundee","Student Services"
"Durham University","russell","https://www.dur.ac.uk/","https://www.dur.ac.uk/business/about/mission_aims/",,"To be an influential, research-led, multidisciplinary and international business school which pursues excellence in research and teaching recognised by key stakeholders.",
"University of East Anglia, Norwich",,"http://www.uea.ac.uk/",,,,
"University of East London",,"http://www.uel.ac.uk/","http://www.uel.ac.uk/about/vision-and-values/",,"To be an enterprising, international university, bringing transformational opportunities to individuals, communities and businesses in our region, through diversity, partnership and excellence in teaching and research.",
"University of East London School of Law",,"http://www.uel.ac.uk/lss/",,,,
"Edge Hill University",,"http://www.edgehill.ac.uk/","http://www.edgehill.ac.uk/about/corporate-information/mission-vision-values/",,"Edge Hill University provides an innovative, high quality and inclusive learning experience underpinned by a commitment to the advancement, dissemination and application of knowledge. As a learning-led University, Edge Hill is dedicated to developing students as skilled autonomous learners in challenging and supportive environments.",
"University of Edinburgh","russell,leru","http://www.ed.ac.uk","http://www.ed.ac.uk/about/mission-governance/mission","The UniversityÔÇÖs mission is the creation, dissemination and curation of knowledge.","The UniversityÔÇÖs mission is the creation, dissemination and curation of knowledge. As a world-leading centre of academic excellence we aim to: Enhance our position as one of the worldÔÇÖs leading research and teaching universities and to measure our performance against the highest international standards. Provide the highest quality learning and teaching environment for the greater wellbeing of our students. Produce graduates fully equipped to achieve the highest personal and professional standards. Make a significant, sustainable and socially responsible contribution to Scotland, the UK and the world, promoting health and economic and cultural wellbeing.",
"Moray House School of Education",,"http://www.ed.ac.uk/schools-departments/education",,,,
"Edinburgh Napier University",,"http://www.napier.ac.uk/Pages/home.aspx","http://staff.napier.ac.uk/services/hr/Documents/FurtherParticulars.pdf",,"Our vision is that by 2015 we will be established as one of the leading, modern professional Universities in the United Kingdom. We will have an international reputation for the employability of our graduates and for expertise which can be used directly to enhance the lives and prospects of people and their communities.",
"University of Essex, Colchester and Southend-on-Sea",,"http://www.essex.ac.uk/","http://www.essex.ac.uk/about/strategy_and_vision/mission_statement/default.aspx",,"Our mission is to be a globally competitive, research-intensive, student-focussed university that takes seriously its economic, social and cultural responsibilities to the Eastern region, the UK and the world.",
"University of Exeter","russell","http://www.exeter.ac.uk/","http://admin.exeter.ac.uk/corporate/mission_aims.shtml",,"The University of Exeter helps to shape the future by extending the boundaries of knowledge for the benefit of individuals, society and the environment.Our vision is to be a leading international university, recognised for the high quality of our research and the distinctive student experience we offer",
"Camborne School of Mines",,"http://emps.exeter.ac.uk/csm/",,,,
"Falmouth University",,"http://www.falmouth.ac.uk/","http://www.falmouth.ac.uk/studentregulations",,"To be a world class university that gives creative minds inspiring futures.","student charter"
"Dartington College of Arts",,,,,,
"University of Glamorgan, Cardiff, Trefforest and Glyntaff",,"http://profile.glam.ac.uk/findus/","http://www.southwales.ac.uk/about/vision-and-mission/",,"Transforming lives, economies and communities through accessible, distinctive and responsive education, innovation and engagement.",
"University of Glasgow","russell","http://www.gla.ac.uk/","http://www.gla.ac.uk/about/values/",,"to undertake world-leading research and to provide an intellectually stimulating learning environment, thus delivering benefits to culture, society and the economy.",
"Glasgow Caledonian University",,"http://www.gcu.ac.uk/","http://www.gcu.ac.uk/theuniversity/aboutglasgowcaledonian/vision/ourmissionvision/",,"Our mission as a University is to provide an outstanding inclusive learning environment underpinned by curiosity driven research allowing us to:share our knowledge and expertise; work in partnership with business, the professions and the public sector;create successful global graduates and citizens and deliver economic and social benefit for the communities we serve.Our University is value-oriented and goal-directed.",
"University of Gloucestershire",,"http://www.glos.ac.uk/Pages/default.aspx","http://insight.glos.ac.uk/sustainability/documents/new%20strategic%20plan%20final.pdf",,"Our Mission is to be a university which is:founded on values, centred on students, focused on learning",
"University of Greenwich",,"http://www2.gre.ac.uk/","http://www2.gre.ac.uk/about/policy/equality/strategy",,"The University of Greenwich aims to provide high-quality education, research and enterprise for international, national, regional and local communities.",
"Glyndawr University",,"http://www.glyndwr.ac.uk/","http://www.glyndwr.ac.uk/en/AboutGlyndwrUniversity/Governance/TheFile,24811,en.pdf",,"ÔÇ£Glynd┼Ár University strives to be a Market Led, Student Centred University of International Significance Open to AllÔÇØ.",
"Harper Adams University",,"http://www.harper-adams.ac.uk/","http://www.harper-adams.ac.uk/about/mission-statement.cfm",,"Higher education and research for the delivery of a sustainable food chain and rural economy.",
"Heriot-Watt University",,"http://www.hw.ac.uk/","http://www.hw.ac.uk/about/careers/culture/our-values.htm",,"Our values are: Pursuing excellence, Shaping the future, Outward looking, Pride and belonging, Valuing and respecting everyone",
"University of Hertfordshire",,"http://www.herts.ac.uk/","http://www.herts.ac.uk/about-us/vision",,"An innovative and enterprising university, challenging individuals and organisations to excel. - See more at: http://www.herts.ac.uk/about-us/vision#sthash.3Ah8uPiS.dpuf",
"University of the Highlands & Islands",,"http://www.uhi.ac.uk/en",,,,
"University of Huddersfield",,"http://www.hud.ac.uk/barnsley/","http://www.hud.ac.uk/media/universityofhuddersfield/content/documents/registry/regulationsandpolicies/policiesandguidance/Admissions%20Policy.pdf",,"To deliver an accessible and inspirational learning experience, to undertake pioneering research and professional practice, and to engage fully with employers and the communityÔÇÖ",
"University of Hull, Hull and Scarborough",,"http://www2.hull.ac.uk/scarborough/","http://www2.hull.ac.uk/student/careersandemployability/aboutus/missionobjectives.aspx",,"We shall encourage and empower individuals to achieve their full potential and to make and implement well-informed decisions about their careers and continuing professional development.",
"Hull York Medical School (HYMS)",,"http://www.hyms.ac.uk/",,,,
"Imperial College London","russell,leru","http://www3.imperial.ac.uk/","http://www3.imperial.ac.uk/planning/strategy/strategicplan",,"Imperial College London embodies and delivers world class scholarship, education and research in science, engineering, medicine and business, with particular regard to their application in industry, commerce and healthcare. We foster multidisciplinary working internally and collaborate widely externally.",
"Imperial College at Wye",,"http://www.imperial.ac.uk/college.asp?P=2751",,,,
"Royal School of Mines",,"https://www.union.ic.ac.uk/rsm/exec/",,,,
"Keele University",,"http://www.keele.ac.uk/","http://www.keele.ac.uk/strategicplan/",,"Keele will provide a high quality educational experience for students shaped by outstanding research, contributing positively to social, environmental, and economic agendas locally, nationally and internationally.",
"University of Kent, Canterbury and Medway",,"http://www.kent.ac.uk/","http://www.kent.ac.uk/about/mission.html",,"The University of Kent will: Provide higher education of excellent quality characterised by flexibility and interdisciplinarity informed by research and scholarship meeting the lifelong needs of a diversity of students, Enlarge knowledge by research to standards achieving international recognition throughout its subject range,Be an intellectual and cultural focus for Canterbury and Kent.Support national and regional economic success,Build vigorously on its close ties within Europe and continue to develop wider international relationships",
"Kingston University",,"http://www.kingston.ac.uk/","http://www.kingston.ac.uk/aboutkingstonuniversity/howtheuniversityworks/",,"Our mission is to promote participation in higher education and the University's Strategic Plan assesses our progress and looks to the future.The campus development plan is a multi-million pound investment in our estate to benefit students, staff and the local community.The University policies and regulations ensure we maintain high standards.",
"Lancaster University",,"http://www.lancaster.ac.uk/","http://www.lancs.ac.uk/vc/vision.htm",,"Lancaster UniversityÔÇÖs mission is to pursue research at the highest international level, to create a stimulating and innovative learning environment for all students and staff and, in international, national and regional collaborations, to enhance economic, cultural and social well-being.",
"University of Leeds","russell","http://www.leeds.ac.uk/","http://strategy.leeds.ac.uk/values/",,"Values: Academic excellence: knowledge, academic freedom, critical independence, creativity, innovation, world-class performance.Community: public service and citizenship; collegiality, teamwork and mutual respect.Integrity: openness, transparency and honesty. Inclusiveness: diversity, equal opportunity and access.Professionalism: provision of effective and efficient customer-focused services in all aspects of our work (internally and externally).",
"Leeds Metropolitan University",,"http://www.leedsmet.ac.uk/","http://www.leedsmet.ac.uk/strategicplan/Leeds-Metropolitan_Strategic-Plan_2010-2015.pdf",,"Values - To be acknowledged for our commitment to student success,our innovation and enterprise, our global reach and strong local impact",
"Leeds Trinity University",,"http://www.leedstrinity.ac.uk/pages/default.aspx","http://www.leedstrinity.ac.uk/aboutus/documents/keydocs/strategic%20plan%20revised%20nov%2009.pdf",,"Our Vision - Leeds Trinity University College will be a successful university community, inspired by Catholic values. We will empower individuals,enabling them to contribute to their ommunities as productive, enterprising and creative citizens of the world.",
"University of Leicester",,"http://www.le.ac.uk/","http://www2.le.ac.uk/about/StrategicVisionUoL09.pdf",,"The University of Leicester is a leading UK university committed to international excellence through the creation of world changing research and high quality, inspirational teaching within an inclusive academic culture",
"University of Lincoln",,"http://www.lincoln.ac.uk/home/","http://www.lincoln.ac.uk/home/abouttheuniversity/governance/strategyandvision/",,"ÔÇÿA University looking to the futureÔÇÖ where we serve and develop our local, national and international communities by creating purposeful knowledge and research, confident and creative graduates and a dynamic and engaged workforce.",
"University of Liverpool","russell","http://www.liv.ac.uk/","http://www.liv.ac.uk/eddev/about_us/Mission_Statement.htm",,"To be the hub for the continuing enhancement of the variety, value and quality of learning and teaching for all who learn and teach with The University.To nurture an enthusiasm for developing the quality of learning and teaching across the institution (which equals the excitement generated by successful research).To provide evidence informed programmes, advice and guidance to all staff who teach.To work with university educators to develop and disseminate effective practice in Learning and Teaching.To work towards making The University an attractive place where high quality staff will want to teach.In collaboration with educators both within and outside The University, to support, through research and development, effective approaches to learning and teaching.  This will enable staff to meet the challenges of a rapidly changing HE sector. To provide well grounded advice on the development of policy in relation to learning and teaching.",
"Liverpool School of Tropical Medicine",,"http://www.lstmliverpool.ac.uk/","http://www.lstmliverpool.ac.uk/about-lstm/vision,-mission-and-values/",,"To expand learning and teaching provision beyond the limits of The University.  This may support the development of our own practice and that of staff who teach. Such provision will enhance the reputation of The University of Liverpool as a research intensive institution that also excels in teaching.",
"Liverpool Hope University",,"http://www.hope.ac.uk/","http://www.hope.ac.uk/aboutus/theliverpoolhopestory/missionandvalues/",,"Liverpool Hope University is an ecumenical Christian Foundation which strives:to provide opportunities for the well-rounded personal development of Christians and students from other faiths and beliefs, educating the whole person in mind, body and spirit, irrespective of age, social or ethnic origins or physical capacity, including in particular those who might otherwise not have had an opportunity to enter higher education;to be a national provider of a wide range of high quality programmes responsive to the needs of students, including the education, training and professional development of teachers for Church and state schools;to sustain an academic community, as a sign of hope, enriched by Christian values and worship, which supports teaching and learning, scholarship and research, encourages the understanding of Christian and other faiths and beliefs and promotes religious and social harmony;to contribute to the educational, religious, cultural, social and economic life of Liverpool, Merseyside, the North-West and beyond.",
"Liverpool John Moores University",,"http://www.ljmu.ac.uk/","http://www.ljmu.ac.uk/AboutUs_City/69211.htm",,"Our mission is to serve and enrich our students, clients and communities by providing opportunities for advancement through education, training, research and the transfer of knowledge.",
"University of London",,"http://www.lon.ac.uk/","http://www.london.ac.uk/fileadmin/documents/about/governance/UOL_Strategic_Plan_2009-14_final.pdf",,"To promote, for the public benefit, education of a university standard and the advancement of knowledge and learning by teaching and research through the Colleges primarily, and also through the Central Academic. Bodies and Central Activities; and to encourage the achievement and maintenance of the highest academic standards.",
